Term	Grantham_Val	Annotation	Haploblock
GO:0000045	116	autophagosome assembly	ANN_05_01
GO:0000304	999	response to singlet oxygen	ANN_05_01
GO:0000394	89	RNA splicing, via endonucleolytic cleavage and ligation	ANN_05_01
GO:0000398	5	mRNA splicing, via spliceosome	ANN_05_01
GO:0000422	116	autophagy of mitochondrion	ANN_05_01
GO:0000724	23	double-strand break repair via homologous recombination	ANN_05_01
GO:0001578	58	microtubule bundle formation	ANN_05_01
GO:0001666	1069	response to hypoxia	ANN_05_01
GO:0001709	51	cell fate determination	ANN_05_01
GO:0002221	167	pattern recognition receptor signaling pathway	ANN_05_01
GO:0002229	820	defense response to oomycetes	ANN_05_01
GO:0002230	68	positive regulation of defense response to virus by host	ANN_05_01
GO:0002237	51	response to molecule of bacterial origin	ANN_05_01
GO:0002758	38	innate immune response-activating signal transduction	ANN_05_01
GO:0003006	70	developmental process involved in reproduction	ANN_05_01
GO:0003333	648	amino acid transmembrane transport	ANN_05_01
GO:0005975	504	carbohydrate metabolic process	ANN_05_01
GO:0005982	70	starch metabolic process	ANN_05_01
GO:0006096	58	glycolytic process	ANN_05_01
GO:0006097	83	glyoxylate cycle	ANN_05_01
GO:0006163	94	purine nucleotide metabolic process	ANN_05_01
GO:0006226	203	dUMP biosynthetic process	ANN_05_01
GO:0006281	811	DNA repair	ANN_05_01
GO:0006282	207	regulation of DNA repair	ANN_05_01
GO:0006284	22	base-excision repair	ANN_05_01
GO:0006290	310	pyrimidine dimer repair	ANN_05_01
GO:0006298	310	mismatch repair	ANN_05_01
GO:0006301	310	postreplication repair	ANN_05_01
GO:0006302	384	double-strand break repair	ANN_05_01
GO:0006303	224	double-strand break repair via nonhomologous end joining	ANN_05_01
GO:0006310	310	DNA recombination	ANN_05_01
GO:0006334	122	nucleosome assembly	ANN_05_01
GO:0006351	306	transcription, DNA-templated	ANN_05_01
GO:0006355	4742	regulation of transcription, DNA-templated	ANN_05_01
GO:0006357	1155	regulation of transcription by RNA polymerase II	ANN_05_01
GO:0006364	249	rRNA processing	ANN_05_01
GO:0006367	277	transcription initiation from RNA polymerase II promoter	ANN_05_01
GO:0006368	45	transcription elongation from RNA polymerase II promoter	ANN_05_01
GO:0006396	207	RNA processing	ANN_05_01
GO:0006412	81	translation	ANN_05_01
GO:0006457	87	protein folding	ANN_05_01
GO:0006465	276	signal peptide processing	ANN_05_01
GO:0006468	2438	protein phosphorylation	ANN_05_01
GO:0006470	147	protein dephosphorylation	ANN_05_01
GO:0006486	5	protein glycosylation	ANN_05_01
GO:0006497	116	protein lipidation	ANN_05_01
GO:0006499	188	N-terminal protein myristoylation	ANN_05_01
GO:0006501	116	C-terminal protein lipidation	ANN_05_01
GO:0006508	354	proteolysis	ANN_05_01
GO:0006568	289	tryptophan metabolic process	ANN_05_01
GO:0006623	79	protein targeting to vacuole	ANN_05_01
GO:0006629	1794	lipid metabolic process	ANN_05_01
GO:0006631	357	fatty acid metabolic process	ANN_05_01
GO:0006779	53	porphyrin-containing compound biosynthetic process	ANN_05_01
GO:0006782	24	protoporphyrinogen IX biosynthetic process	ANN_05_01
GO:0006783	24	heme biosynthetic process	ANN_05_01
GO:0006808	49	regulation of nitrogen utilization	ANN_05_01
GO:0006887	145	exocytosis	ANN_05_01
GO:0006888	79	endoplasmic reticulum to Golgi vesicle-mediated transport	ANN_05_01
GO:0006890	79	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	ANN_05_01
GO:0006914	116	autophagy	ANN_05_01
GO:0006952	526	defense response	ANN_05_01
GO:0006970	99	response to osmotic stress	ANN_05_01
GO:0006974	224	cellular response to DNA damage stimulus	ANN_05_01
GO:0006979	146	response to oxidative stress	ANN_05_01
GO:0006995	116	cellular response to nitrogen starvation	ANN_05_01
GO:0007004	244	telomere maintenance via telomerase	ANN_05_01
GO:0007091	56	metaphase/anaphase transition of mitotic cell cycle	ANN_05_01
GO:0007129	224	homologous chromosome pairing at meiosis	ANN_05_01
GO:0007186	29	G protein-coupled receptor signaling pathway	ANN_05_01
GO:0007205	56	protein kinase C-activating G protein-coupled receptor signaling pathway	ANN_05_01
GO:0007231	154	osmosensory signaling pathway	ANN_05_01
GO:0007275	207	multicellular organism development	ANN_05_01
GO:0007568	116	aging	ANN_05_01
GO:0007623	154	circadian rhythm	ANN_05_01
GO:0008219	134	cell death	ANN_05_01
GO:0008285	65	negative regulation of cell population proliferation	ANN_05_01
GO:0008299	684	isoprenoid biosynthetic process	ANN_05_01
GO:0008380	224	RNA splicing	ANN_05_01
GO:0008643	264	carbohydrate transport	ANN_05_01
GO:0009132	94	nucleoside diphosphate metabolic process	ANN_05_01
GO:0009269	388	response to desiccation	ANN_05_01
GO:0009408	412	response to heat	ANN_05_01
GO:0009409	308	response to cold	ANN_05_01
GO:0009411	44	response to UV	ANN_05_01
GO:0009414	306	response to water deprivation	ANN_05_01
GO:0009416	347	response to light stimulus	ANN_05_01
GO:0009553	94	embryo sac development	ANN_05_01
GO:0009555	471	pollen development	ANN_05_01
GO:0009556	56	microsporogenesis	ANN_05_01
GO:0009585	374	red, far-red light phototransduction	ANN_05_01
GO:0009594	70	detection of nutrient	ANN_05_01
GO:0009611	1204	response to wounding	ANN_05_01
GO:0009615	121	response to virus	ANN_05_01
GO:0009617	22	response to bacterium	ANN_05_01
GO:0009620	22	response to fungus	ANN_05_01
GO:0009624	58	response to nematode	ANN_05_01
GO:0009626	1021	plant-type hypersensitive response	ANN_05_01
GO:0009627	999	systemic acquired resistance	ANN_05_01
GO:0009635	70	response to herbicide	ANN_05_01
GO:0009636	163	response to toxic substance	ANN_05_01
GO:0009640	780	photomorphogenesis	ANN_05_01
GO:0009641	406	shade avoidance	ANN_05_01
GO:0009642	276	response to light intensity	ANN_05_01
GO:0009646	289	response to absence of light	ANN_05_01
GO:0009651	213	response to salt stress	ANN_05_01
GO:0009652	58	thigmotropism	ANN_05_01
GO:0009658	843	chloroplast organization	ANN_05_01
GO:0009690	182	cytokinin metabolic process	ANN_05_01
GO:0009698	22	phenylpropanoid metabolic process	ANN_05_01
GO:0009704	112	de-etiolation	ANN_05_01
GO:0009723	49	response to ethylene	ANN_05_01
GO:0009733	291	response to auxin	ANN_05_01
GO:0009735	154	response to cytokinin	ANN_05_01
GO:0009737	1181	response to abscisic acid	ANN_05_01
GO:0009738	232	abscisic acid-activated signaling pathway	ANN_05_01
GO:0009739	49	response to gibberellin	ANN_05_01
GO:0009740	49	gibberellic acid mediated signaling pathway	ANN_05_01
GO:0009741	127	response to brassinosteroid	ANN_05_01
GO:0009742	433	brassinosteroid mediated signaling pathway	ANN_05_01
GO:0009744	98	response to sucrose	ANN_05_01
GO:0009749	70	response to glucose	ANN_05_01
GO:0009751	421	response to salicylic acid	ANN_05_01
GO:0009753	710	response to jasmonic acid	ANN_05_01
GO:0009759	289	indole glucosinolate biosynthetic process	ANN_05_01
GO:0009786	56	regulation of asymmetric cell division	ANN_05_01
GO:0009787	361	regulation of abscisic acid-activated signaling pathway	ANN_05_01
GO:0009789	128	positive regulation of abscisic acid-activated signaling pathway	ANN_05_01
GO:0009791	127	post-embryonic development	ANN_05_01
GO:0009793	1571	embryo development ending in seed dormancy	ANN_05_01
GO:0009809	1950	lignin biosynthetic process	ANN_05_01
GO:0009823	182	cytokinin catabolic process	ANN_05_01
GO:0009826	339	unidimensional cell growth	ANN_05_01
GO:0009834	173	plant-type secondary cell wall biogenesis	ANN_05_01
GO:0009846	5	pollen germination	ANN_05_01
GO:0009860	5	pollen tube growth	ANN_05_01
GO:0009862	999	systemic acquired resistance, salicylic acid mediated signaling pathway	ANN_05_01
GO:0009863	71	salicylic acid mediated signaling pathway	ANN_05_01
GO:0009867	528	jasmonic acid mediated signaling pathway	ANN_05_01
GO:0009909	339	regulation of flower development	ANN_05_01
GO:0009910	1327	negative regulation of flower development	ANN_05_01
GO:0009911	65	positive regulation of flower development	ANN_05_01
GO:0009938	49	negative regulation of gibberellic acid mediated signaling pathway	ANN_05_01
GO:0009939	49	positive regulation of gibberellic acid mediated signaling pathway	ANN_05_01
GO:0009960	104	endosperm development	ANN_05_01
GO:0009963	1957	positive regulation of flavonoid biosynthetic process	ANN_05_01
GO:0009965	258	leaf morphogenesis	ANN_05_01
GO:0010015	29	root morphogenesis	ANN_05_01
GO:0010022	109	meristem determinacy	ANN_05_01
GO:0010025	101	wax biosynthetic process	ANN_05_01
GO:0010027	249	thylakoid membrane organization	ANN_05_01
GO:0010029	110	regulation of seed germination	ANN_05_01
GO:0010030	55	positive regulation of seed germination	ANN_05_01
GO:0010047	65	fruit dehiscence	ANN_05_01
GO:0010048	1180	vernalization response	ANN_05_01
GO:0010050	70	vegetative phase change	ANN_05_01
GO:0010051	271	xylem and phloem pattern formation	ANN_05_01
GO:0010072	190	primary shoot apical meristem specification	ANN_05_01
GO:0010073	91	meristem maintenance	ANN_05_01
GO:0010080	109	regulation of floral meristem growth	ANN_05_01
GO:0010081	109	regulation of inflorescence meristem growth	ANN_05_01
GO:0010087	305	phloem or xylem histogenesis	ANN_05_01
GO:0010088	58	phloem development	ANN_05_01
GO:0010090	179	trichome morphogenesis	ANN_05_01
GO:0010093	22	specification of floral organ identity	ANN_05_01
GO:0010113	38	negative regulation of systemic acquired resistance	ANN_05_01
GO:0010115	205	regulation of abscisic acid biosynthetic process	ANN_05_01
GO:0010117	406	photoprotection	ANN_05_01
GO:0010119	99	regulation of stomatal movement	ANN_05_01
GO:0010150	509	leaf senescence	ANN_05_01
GO:0010152	355	pollen maturation	ANN_05_01
GO:0010162	104	seed dormancy process	ANN_05_01
GO:0010167	121	response to nitrate	ANN_05_01
GO:0010182	283	sugar mediated signaling pathway	ANN_05_01
GO:0010183	94	pollen tube guidance	ANN_05_01
GO:0010187	49	negative regulation of seed germination	ANN_05_01
GO:0010190	22	cytochrome b6f complex assembly	ANN_05_01
GO:0010199	38	organ boundary specification between lateral organs and the meristem	ANN_05_01
GO:0010200	289	response to chitin	ANN_05_01
GO:0010208	1185	pollen wall assembly	ANN_05_01
GO:0010212	224	response to ionizing radiation	ANN_05_01
GO:0010218	49	response to far red light	ANN_05_01
GO:0010222	1185	stem vascular tissue pattern formation	ANN_05_01
GO:0010223	501	secondary shoot formation	ANN_05_01
GO:0010227	174	floral organ abscission	ANN_05_01
GO:0010228	1368	vegetative to reproductive phase transition of meristem	ANN_05_01
GO:0010229	154	inflorescence development	ANN_05_01
GO:0010231	222	maintenance of seed dormancy	ANN_05_01
GO:0010233	49	phloem transport	ANN_05_01
GO:0010247	38	detection of phosphate ion	ANN_05_01
GO:0010252	1822	auxin homeostasis	ANN_05_01
GO:0010286	38	heat acclimation	ANN_05_01
GO:0010310	999	regulation of hydrogen peroxide metabolic process	ANN_05_01
GO:0010311	23	lateral root formation	ANN_05_01
GO:0010315	58	auxin efflux	ANN_05_01
GO:0010321	1135	regulation of vegetative phase change	ANN_05_01
GO:0010332	224	response to gamma radiation	ANN_05_01
GO:0010336	49	gibberellic acid homeostasis	ANN_05_01
GO:0010337	38	regulation of salicylic acid metabolic process	ANN_05_01
GO:0010374	289	stomatal complex development	ANN_05_01
GO:0010375	68	stomatal complex patterning	ANN_05_01
GO:0010417	81	glucuronoxylan biosynthetic process	ANN_05_01
GO:0010440	104	stomatal lineage progression	ANN_05_01
GO:0010468	180	regulation of gene expression	ANN_05_01
GO:0010497	68	plasmodesmata-mediated intercellular transport	ANN_05_01
GO:0010508	70	positive regulation of autophagy	ANN_05_01
GO:0010582	109	floral meristem determinacy	ANN_05_01
GO:0010588	1185	cotyledon vascular tissue pattern formation	ANN_05_01
GO:0010618	999	aerenchyma formation	ANN_05_01
GO:0010942	999	positive regulation of cell death	ANN_05_01
GO:0015693	344	magnesium ion transport	ANN_05_01
GO:0015706	121	nitrate transport	ANN_05_01
GO:0015770	264	sucrose transport	ANN_05_01
GO:0015995	24	chlorophyll biosynthetic process	ANN_05_01
GO:0016036	38	cellular response to phosphate starvation	ANN_05_01
GO:0016310	584	phosphorylation	ANN_05_01
GO:0016444	23	somatic cell DNA recombination	ANN_05_01
GO:0016540	184	protein autoprocessing	ANN_05_01
GO:0016554	262	cytidine to uridine editing	ANN_05_01
GO:0016567	1415	protein ubiquitination	ANN_05_01
GO:0016570	45	histone modification	ANN_05_01
GO:0016579	327	protein deubiquitination	ANN_05_01
GO:0016584	99	nucleosome positioning	ANN_05_01
GO:0016925	38	protein sumoylation	ANN_05_01
GO:0017004	22	cytochrome complex assembly	ANN_05_01
GO:0018105	337	peptidyl-serine phosphorylation	ANN_05_01
GO:0018160	24	peptidyl-pyrromethane cofactor linkage	ANN_05_01
GO:0019236	29	response to pheromone	ANN_05_01
GO:0019288	237	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	ANN_05_01
GO:0019478	163	D-amino acid catabolic process	ANN_05_01
GO:0019761	60	glucosinolate biosynthetic process	ANN_05_01
GO:0019915	238	lipid storage	ANN_05_01
GO:0030001	226	metal ion transport	ANN_05_01
GO:0030071	56	regulation of mitotic metaphase/anaphase transition	ANN_05_01
GO:0030154	281	cell differentiation	ANN_05_01
GO:0030261	99	chromosome condensation	ANN_05_01
GO:0030308	109	negative regulation of cell growth	ANN_05_01
GO:0030422	207	production of siRNA involved in RNA interference	ANN_05_01
GO:0030968	87	endoplasmic reticulum unfolded protein response	ANN_05_01
GO:0031110	58	regulation of microtubule polymerization or depolymerization	ANN_05_01
GO:0031145	56	anaphase-promoting complex-dependent catabolic process	ANN_05_01
GO:0031347	56	regulation of defense response	ANN_05_01
GO:0031348	58	negative regulation of defense response	ANN_05_01
GO:0031540	154	regulation of anthocyanin biosynthetic process	ANN_05_01
GO:0031935	207	regulation of chromatin silencing	ANN_05_01
GO:0031936	99	negative regulation of chromatin silencing	ANN_05_01
GO:0032204	224	regulation of telomere maintenance	ANN_05_01
GO:0032446	116	protein modification by small protein conjugation	ANN_05_01
GO:0032502	89	developmental process	ANN_05_01
GO:0032504	305	multicellular organism reproduction	ANN_05_01
GO:0032786	121	positive regulation of DNA-templated transcription, elongation	ANN_05_01
GO:0032889	58	regulation of vacuole fusion, non-autophagic	ANN_05_01
GO:0032968	45	positive regulation of transcription elongation from RNA polymerase II promoter	ANN_05_01
GO:0033044	224	regulation of chromosome organization	ANN_05_01
GO:0033206	49	meiotic cytokinesis	ANN_05_01
GO:0033384	655	geranyl diphosphate biosynthetic process	ANN_05_01
GO:0033386	655	geranylgeranyl diphosphate biosynthetic process	ANN_05_01
GO:0033500	154	carbohydrate homeostasis	ANN_05_01
GO:0034059	543	response to anoxia	ANN_05_01
GO:0034727	116	piecemeal microautophagy of the nucleus	ANN_05_01
GO:0035196	207	production of miRNAs involved in gene silencing by miRNA	ANN_05_01
GO:0035304	222	regulation of protein dephosphorylation	ANN_05_01
GO:0035435	65	phosphate ion transmembrane transport	ANN_05_01
GO:0035556	559	intracellular signal transduction	ANN_05_01
GO:0040008	38	regulation of growth	ANN_05_01
GO:0042023	154	DNA endoreduplication	ANN_05_01
GO:0042149	197	cellular response to glucose starvation	ANN_05_01
GO:0042273	23	ribosomal large subunit biogenesis	ANN_05_01
GO:0042538	470	hyperosmotic salinity response	ANN_05_01
GO:0042593	10	glucose homeostasis	ANN_05_01
GO:0042742	1531	defense response to bacterium	ANN_05_01
GO:0042938	421	dipeptide transport	ANN_05_01
GO:0042939	421	tripeptide transport	ANN_05_01
GO:0043069	154	negative regulation of programmed cell death	ANN_05_01
GO:0043201	421	response to leucine	ANN_05_01
GO:0043247	224	telomere maintenance in response to DNA damage	ANN_05_01
GO:0043570	310	maintenance of DNA repeat elements	ANN_05_01
GO:0043619	289	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	ANN_05_01
GO:0043622	68	cortical microtubule organization	ANN_05_01
GO:0043666	56	regulation of phosphoprotein phosphatase activity	ANN_05_01
GO:0043693	655	monoterpene biosynthetic process	ANN_05_01
GO:0044030	207	regulation of DNA methylation	ANN_05_01
GO:0044237	60	cellular metabolic process	ANN_05_01
GO:0044805	116	late nucleophagy	ANN_05_01
GO:0045003	224	double-strand break repair via synthesis-dependent strand annealing	ANN_05_01
GO:0045087	58	innate immune response	ANN_05_01
GO:0045128	310	negative regulation of reciprocal meiotic recombination	ANN_05_01
GO:0045337	655	farnesyl diphosphate biosynthetic process	ANN_05_01
GO:0045454	22	cell redox homeostasis	ANN_05_01
GO:0045489	81	pectin biosynthetic process	ANN_05_01
GO:0045492	115	xylan biosynthetic process	ANN_05_01
GO:0045691	56	regulation of embryo sac central cell differentiation	ANN_05_01
GO:0045697	56	regulation of synergid differentiation	ANN_05_01
GO:0045842	56	positive regulation of mitotic metaphase/anaphase transition	ANN_05_01
GO:0045892	1140	negative regulation of transcription, DNA-templated	ANN_05_01
GO:0045893	494	positive regulation of transcription, DNA-templated	ANN_05_01
GO:0045910	409	negative regulation of DNA recombination	ANN_05_01
GO:0045944	565	positive regulation of transcription by RNA polymerase II	ANN_05_01
GO:0045962	258	positive regulation of development, heterochronic	ANN_05_01
GO:0046081	203	dUTP catabolic process	ANN_05_01
GO:0046686	123	response to cadmium ion	ANN_05_01
GO:0046713	163	borate transport	ANN_05_01
GO:0046777	315	protein autophosphorylation	ANN_05_01
GO:0048317	104	seed morphogenesis	ANN_05_01
GO:0048364	476	root development	ANN_05_01
GO:0048366	460	leaf development	ANN_05_01
GO:0048443	22	stamen development	ANN_05_01
GO:0048467	154	gynoecium development	ANN_05_01
GO:0048481	103	plant ovule development	ANN_05_01
GO:0048510	1298	regulation of timing of transition from vegetative to reproductive phase	ANN_05_01
GO:0048544	298	recognition of pollen	ANN_05_01
GO:0048571	264	long-day photoperiodism	ANN_05_01
GO:0048589	38	developmental growth	ANN_05_01
GO:0048653	125	anther development	ANN_05_01
GO:0050777	329	negative regulation of immune response	ANN_05_01
GO:0050790	197	regulation of catalytic activity	ANN_05_01
GO:0050801	89	ion homeostasis	ANN_05_01
GO:0050821	244	protein stabilization	ANN_05_01
GO:0050826	142	response to freezing	ANN_05_01
GO:0050829	1108	defense response to Gram-negative bacterium	ANN_05_01
GO:0050832	638	defense response to fungus	ANN_05_01
GO:0051090	289	regulation of DNA-binding transcription factor activity	ANN_05_01
GO:0051224	68	negative regulation of protein transport	ANN_05_01
GO:0051225	58	spindle assembly	ANN_05_01
GO:0051289	289	protein homotetramerization	ANN_05_01
GO:0051301	271	cell division	ANN_05_01
GO:0051321	224	meiotic cell cycle	ANN_05_01
GO:0051484	29	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process	ANN_05_01
GO:0051493	68	regulation of cytoskeleton organization	ANN_05_01
GO:0051510	127	regulation of unidimensional cell growth	ANN_05_01
GO:0051513	116	regulation of monopolar cell growth	ANN_05_01
GO:0051603	266	proteolysis involved in cellular protein catabolic process	ANN_05_01
GO:0051607	68	defense response to virus	ANN_05_01
GO:0051865	150	protein autoubiquitination	ANN_05_01
GO:0052386	81	cell wall thickening	ANN_05_01
GO:0055046	60	microgametogenesis	ANN_05_01
GO:0055085	578	transmembrane transport	ANN_05_01
GO:0060628	79	regulation of ER to Golgi vesicle-mediated transport	ANN_05_01
GO:0060858	109	vesicle-mediated transport involved in floral organ abscission	ANN_05_01
GO:0060866	1108	leaf abscission	ANN_05_01
GO:0061077	112	chaperone-mediated protein folding	ANN_05_01
GO:0062210	38	shoot regeneration	ANN_05_01
GO:0070262	56	peptidyl-serine dephosphorylation	ANN_05_01
GO:0071219	329	cellular response to molecule of bacterial origin	ANN_05_01
GO:0071456	987	cellular response to hypoxia	ANN_05_01
GO:0072318	353	clathrin coat disassembly	ANN_05_01
GO:0072583	353	clathrin-dependent endocytosis	ANN_05_01
GO:0072593	154	reactive oxygen species metabolic process	ANN_05_01
GO:0080022	70	primary root development	ANN_05_01
GO:0080029	163	cellular response to boron-containing substance levels	ANN_05_01
GO:0080052	421	response to histidine	ANN_05_01
GO:0080053	421	response to phenylalanine	ANN_05_01
GO:0080086	154	stamen filament development	ANN_05_01
GO:0080092	355	regulation of pollen tube growth	ANN_05_01
GO:0080142	460	regulation of salicylic acid biosynthetic process	ANN_05_01
GO:0080147	167	root hair cell development	ANN_05_01
GO:0080167	178	response to karrikin	ANN_05_01
GO:0090057	98	root radial pattern formation	ANN_05_01
GO:0090333	29	regulation of stomatal closure	ANN_05_01
GO:0090352	38	regulation of nitrate assimilation	ANN_05_01
GO:0090355	58	positive regulation of auxin metabolic process	ANN_05_01
GO:0090357	289	regulation of tryptophan metabolic process	ANN_05_01
GO:0090358	58	positive regulation of tryptophan metabolic process	ANN_05_01
GO:0090549	289	response to carbon starvation	ANN_05_01
GO:0090630	109	activation of GTPase activity	ANN_05_01
GO:0099402	70	plant organ development	ANN_05_01
GO:0106167	289	extracellular ATP signaling	ANN_05_01
GO:1900055	70	regulation of leaf senescence	ANN_05_01
GO:1900425	65	negative regulation of defense response to bacterium	ANN_05_01
GO:1900865	286	chloroplast RNA modification	ANN_05_01
GO:1901000	109	regulation of response to salt stress	ANN_05_01
GO:1901656	1185	glycoside transport	ANN_05_01
GO:1902074	70	response to salt	ANN_05_01
GO:1902290	207	positive regulation of defense response to oomycetes	ANN_05_01
GO:1902448	306	positive regulation of shade avoidance	ANN_05_01
GO:1903288	65	positive regulation of potassium ion import across plasma membrane	ANN_05_01
GO:1903508	49	positive regulation of nucleic acid-templated transcription	ANN_05_01
GO:1903830	344	magnesium ion transmembrane transport	ANN_05_01
GO:1904216	112	positive regulation of protein import into chloroplast stroma	ANN_05_01
GO:1904278	101	positive regulation of wax biosynthetic process	ANN_05_01
GO:1904825	58	protein localization to microtubule plus-end	ANN_05_01
GO:1905157	406	positive regulation of photosynthesis	ANN_05_01
GO:1905435	109	regulation of histone H3-K4 trimethylation	ANN_05_01
GO:1990110	374	callus formation	ANN_05_01
GO:2000032	501	regulation of secondary shoot formation	ANN_05_01
GO:2000033	150	regulation of seed dormancy process	ANN_05_01
GO:2000034	45	regulation of seed maturation	ANN_05_01
GO:2000068	289	regulation of defense response to insect	ANN_05_01
GO:2000070	38	regulation of response to water deprivation	ANN_05_01
GO:2000143	154	negative regulation of DNA-templated transcription, initiation	ANN_05_01
GO:2000377	49	regulation of reactive oxygen species metabolic process	ANN_05_01
GO:2000652	289	regulation of secondary cell wall biogenesis	ANN_05_01
GO:2001020	224	regulation of response to DNA damage stimulus	ANN_05_01
GO:0000028	101	ribosomal small subunit assembly	ANN_11_01
GO:0000079	247	regulation of cyclin-dependent protein serine/threonine kinase activity	ANN_11_01
GO:0000209	344	protein polyubiquitination	ANN_11_01
GO:0000290	202	deadenylation-dependent decapping of nuclear-transcribed mRNA	ANN_11_01
GO:0000395	358	mRNA 5'-splice site recognition	ANN_11_01
GO:0000398	104	mRNA splicing, via spliceosome	ANN_11_01
GO:0000725	110	recombinational repair	ANN_11_01
GO:0000911	377	cytokinesis by cell plate formation	ANN_11_01
GO:0000919	377	cell plate assembly	ANN_11_01
GO:0001708	174	cell fate specification	ANN_11_01
GO:0002229	58	defense response to oomycetes	ANN_11_01
GO:0002237	233	response to molecule of bacterial origin	ANN_11_01
GO:0002939	24	tRNA N1-guanine methylation	ANN_11_01
GO:0005975	493	carbohydrate metabolic process	ANN_11_01
GO:0005991	316	trehalose metabolic process	ANN_11_01
GO:0005992	180	trehalose biosynthetic process	ANN_11_01
GO:0006006	303	glucose metabolic process	ANN_11_01
GO:0006094	134	gluconeogenesis	ANN_11_01
GO:0006096	339	glycolytic process	ANN_11_01
GO:0006099	45	tricarboxylic acid cycle	ANN_11_01
GO:0006109	58	regulation of carbohydrate metabolic process	ANN_11_01
GO:0006152	99	purine nucleoside catabolic process	ANN_11_01
GO:0006165	251	nucleoside diphosphate phosphorylation	ANN_11_01
GO:0006183	251	GTP biosynthetic process	ANN_11_01
GO:0006207	32	'de novo' pyrimidine nucleobase biosynthetic process	ANN_11_01
GO:0006228	251	UTP biosynthetic process	ANN_11_01
GO:0006241	251	CTP biosynthetic process	ANN_11_01
GO:0006270	185	DNA replication initiation	ANN_11_01
GO:0006281	1211	DNA repair	ANN_11_01
GO:0006282	242	regulation of DNA repair	ANN_11_01
GO:0006284	547	base-excision repair	ANN_11_01
GO:0006306	547	DNA methylation	ANN_11_01
GO:0006342	547	chromatin silencing	ANN_11_01
GO:0006351	249	transcription, DNA-templated	ANN_11_01
