Term	Annotation	Total_Grantham_SV	Rank_SV	Total_Grantham_Bkgd	Rank_Bkgd	Rank_Compare	Rank_Compare_Abs
GO:0000423	mitophagy	1004	1702.5	NA	NA	NA	NA
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1061	1657	357	940.5	716.5	716.5
GO:0000460	maturation of 5.8S rRNA	1142	1591.5	508	853	738.5	738.5
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1455	1307	401	913	394	394
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	915	1772	886	603	1169	1169
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	913	1775	759	692.5	1082.5	1082.5
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	558	2054.5	252	985	1069.5	1069.5
GO:0000470	maturation of LSU-rRNA	1320	1418	NA	NA	NA	NA
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	879	1808	NA	NA	NA	NA
GO:0000476	maturation of 4.5S rRNA	956	1735	NA	NA	NA	NA
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1052	1666	NA	NA	NA	NA
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	876	1809	NA	NA	NA	NA
GO:0000492	box C/D snoRNP assembly	147	2326.5	NA	NA	NA	NA
GO:0000493	box H/ACA snoRNP assembly	149	2325	NA	NA	NA	NA
GO:0000494	box C/D RNA 3'-end processing	146	2328	66	1048	1280	1280
GO:0000495	box H/ACA RNA 3'-end processing	241	2280.5	NA	NA	NA	NA
GO:0000578	embryonic axis specification	571	2046	NA	NA	NA	NA
GO:0000706	meiotic DNA double-strand break processing	927	1761	NA	NA	NA	NA
GO:0000712	resolution of meiotic recombination intermediates	1994	830.5	1708	277	553.5	553.5
GO:0000722	telomere maintenance via recombination	2236	611	NA	NA	NA	NA
GO:0000723	telomere maintenance	2466	417	3225	110	307	307
GO:0000724	double-strand break repair via homologous recombination	1544	1225	2354	180	1045	1045
GO:0000725	recombinational repair	1894	921	2614	160	761	761
GO:0000727	double-strand break repair via break-induced replication	494	2103	NA	NA	NA	NA
GO:0000741	karyogamy	823	1846	730	712.5	1133.5	1133.5
GO:0000819	sister chromatid segregation	2150	698.5	1432	340	358.5	358.5
GO:0000902	cell morphogenesis	1672	1103.5	207	1004	99.5	99.5
GO:0000911	cytokinesis by cell plate formation	1482	1281	3186	111	1170	1170
GO:0000913	preprophase band assembly	1927	889	738	707	182	182
GO:0000919	cell plate assembly	849	1825	NA	NA	NA	NA
GO:0000956	nuclear-transcribed mRNA catabolic process	1179	1551	517	840.5	710.5	710.5
GO:0000958	mitochondrial mRNA catabolic process	1426	1332	NA	NA	NA	NA
GO:0000963	mitochondrial RNA processing	1179	1551	NA	NA	NA	NA
GO:0000965	mitochondrial RNA 3'-end processing	1433	1327	NA	NA	NA	NA
GO:0000966	RNA 5'-end processing	2070	760	NA	NA	NA	NA
GO:0000967	rRNA 5'-end processing	2141	704	NA	NA	NA	NA
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	2311	539.5	NA	NA	NA	NA
GO:0001188	RNA polymerase I preinitiation complex assembly	2157	691.5	NA	NA	NA	NA
GO:0001510	RNA methylation	2388	465	1280	400	65	65
GO:0001516	prostaglandin biosynthetic process	1919	899	NA	NA	NA	NA
GO:0001522	pseudouridine synthesis	1705	1065	NA	NA	NA	NA
GO:0001558	regulation of cell growth	2170	680.5	743	703.5	-23	23
GO:0001561	fatty acid alpha-oxidation	631	2002	NA	NA	NA	NA
GO:0001578	microtubule bundle formation	1097	1631	NA	NA	NA	NA
GO:0001666	response to hypoxia	6588	52	NA	NA	NA	NA
GO:0001676	long-chain fatty acid metabolic process	873	1813	NA	NA	NA	NA
GO:0001678	cellular glucose homeostasis	710	1938	NA	NA	NA	NA
GO:0001680	tRNA 3'-terminal CCA addition	2635	354	NA	NA	NA	NA
GO:0001682	tRNA 5'-leader removal	2486	405.5	2413	173	232.5	232.5
GO:0001708	cell fate specification	633	2001	NA	NA	NA	NA
GO:0001709	cell fate determination	781	1878	NA	NA	NA	NA
GO:0001731	formation of translation preinitiation complex	597	2024.5	364	936	1088.5	1088.5
GO:0001732	formation of cytoplasmic translation initiation complex	595	2026	362	938	1088	1088
GO:0001736	establishment of planar polarity	558	2054.5	NA	NA	NA	NA
GO:0001881	receptor recycling	1670	1105	NA	NA	NA	NA
GO:0001887	selenium compound metabolic process	2123	722	NA	NA	NA	NA
GO:0001932	regulation of protein phosphorylation	1849	955	804	660.5	294.5	294.5
GO:0001934	positive regulation of protein phosphorylation	1698	1073	NA	NA	NA	NA
GO:0002098	tRNA wobble uridine modification	2329	522.5	NA	NA	NA	NA
GO:0002143	tRNA wobble position uridine thiolation	2381	469	NA	NA	NA	NA
GO:0002181	cytoplasmic translation	403	2174	364	936	1238	1238
GO:0002182	cytoplasmic translational elongation	404	2173	NA	NA	NA	NA
GO:0002183	cytoplasmic translational initiation	405	2172	NA	NA	NA	NA
GO:0002184	cytoplasmic translational termination	406	2171	NA	NA	NA	NA
GO:0002213	defense response to insect	519	2089.5	2092	211	1878.5	1878.5
GO:0002220	innate immune response activating cell surface receptor signaling pathway	785	1873	NA	NA	NA	NA
GO:0002221	pattern recognition receptor signaling pathway	1817	981.5	NA	NA	NA	NA
GO:0002229	defense response to oomycetes	5666	68	4328	78	-10	10
GO:0002230	positive regulation of defense response to virus by host	1631	1141	NA	NA	NA	NA
GO:0002237	response to molecule of bacterial origin	3130	212	NA	NA	NA	NA
GO:0002238	response to molecule of fungal origin	1998	828	NA	NA	NA	NA
GO:0002239	response to oomycetes	2691	335.5	3066	121	214.5	214.5
GO:0002240	response to molecule of oomycetes origin	2308	544	NA	NA	NA	NA
GO:0002679	respiratory burst involved in defense response	2374	478.5	NA	NA	NA	NA
GO:0002752	cell surface pattern recognition receptor signaling pathway	206	2296	NA	NA	NA	NA
GO:0002758	innate immune response-activating signal transduction	824	1844.5	1375	361	1483.5	1483.5
GO:0002939	tRNA N1-guanine methylation	2539	383	NA	NA	NA	NA
GO:0002940	tRNA N2-guanine methylation	2502	398	NA	NA	NA	NA
GO:0002949	tRNA threonylcarbamoyladenosine modification	2306	547.5	NA	NA	NA	NA
GO:0003006	developmental process involved in reproduction	725	1926.5	NA	NA	NA	NA
GO:0003333	amino acid transmembrane transport	1474	1292	54	1057	235	235
GO:0003376	sphingosine-1-phosphate receptor signaling pathway	2175	675	NA	NA	NA	NA
GO:0005513	detection of calcium ion	432	2147	NA	NA	NA	NA
GO:0005975	carbohydrate metabolic process	8465	31	4697	66	-35	35
GO:0005978	glycogen biosynthetic process	677	1957	NA	NA	NA	NA
GO:0005982	starch metabolic process	2460	420	NA	NA	NA	NA
GO:0005983	starch catabolic process	2186	666	2114	209.5	456.5	456.5
GO:0005985	sucrose metabolic process	3516	174	NA	NA	NA	NA
GO:0005986	sucrose biosynthetic process	2320	530.5	NA	NA	NA	NA
GO:0005987	sucrose catabolic process	2244	603	NA	NA	NA	NA
GO:0005990	lactose catabolic process	902	1789.5	NA	NA	NA	NA
GO:0005991	trehalose metabolic process	2956	246	NA	NA	NA	NA
GO:0005992	trehalose biosynthetic process	2764	308.5	1739	271	37.5	37.5
GO:0005996	monosaccharide metabolic process	1020	1688.5	NA	NA	NA	NA
GO:0006000	fructose metabolic process	658	1975.5	NA	NA	NA	NA
GO:0006002	fructose 6-phosphate metabolic process	599	2023	NA	NA	NA	NA
GO:0006004	fucose metabolic process	700	1946	NA	NA	NA	NA
GO:0006006	glucose metabolic process	1334	1410	NA	NA	NA	NA
GO:0006011	UDP-glucose metabolic process	2374	478.5	NA	NA	NA	NA
GO:0006012	galactose metabolic process	675	1959.5	NA	NA	NA	NA
GO:0006013	mannose metabolic process	1392	1359.5	NA	NA	NA	NA
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	14	2391	NA	NA	NA	NA
GO:0006020	inositol metabolic process	808	1859	NA	NA	NA	NA
GO:0006024	glycosaminoglycan biosynthetic process	681	1955	NA	NA	NA	NA
GO:0006032	chitin catabolic process	355	2213	NA	NA	NA	NA
GO:0006042	glucosamine biosynthetic process	641	1995.5	NA	NA	NA	NA
GO:0006044	N-acetylglucosamine metabolic process	1123	1604.5	857	622	982.5	982.5
GO:0006047	UDP-N-acetylglucosamine metabolic process	2335	516.5	NA	NA	NA	NA
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	2380	470	NA	NA	NA	NA
GO:0006065	UDP-glucuronate biosynthetic process	2329	522.5	NA	NA	NA	NA
GO:0006072	glycerol-3-phosphate metabolic process	667	1966	295	968.5	997.5	997.5
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	654	1982	1278	401.5	1580.5	1580.5
GO:0006081	cellular aldehyde metabolic process	675	1959.5	NA	NA	NA	NA
GO:0006085	acetyl-CoA biosynthetic process	26	2387	NA	NA	NA	NA
GO:0006086	acetyl-CoA biosynthetic process from pyruvate	27	2386	NA	NA	NA	NA
GO:0006094	gluconeogenesis	1045	1674.5	287	973	701.5	701.5
GO:0006096	glycolytic process	1762	1019	299	965	54	54
GO:0006097	glyoxylate cycle	901	1791.5	NA	NA	NA	NA
GO:0006098	pentose-phosphate shunt	1242	1491	NA	NA	NA	NA
GO:0006099	tricarboxylic acid cycle	2325	526.5	1015	522	4.5	4.5
GO:0006102	isocitrate metabolic process	811	1857.5	346	946	911.5	911.5
GO:0006103	2-oxoglutarate metabolic process	353	2215	NA	NA	NA	NA
GO:0006105	succinate metabolic process	2232	615	NA	NA	NA	NA
GO:0006107	oxaloacetate metabolic process	1225	1503.5	NA	NA	NA	NA
GO:0006108	malate metabolic process	897	1795.5	393	918	877.5	877.5
GO:0006109	regulation of carbohydrate metabolic process	2013	815.5	NA	NA	NA	NA
GO:0006110	regulation of glycolytic process	1968	854	NA	NA	NA	NA
GO:0006114	glycerol biosynthetic process	664	1969.5	NA	NA	NA	NA
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	1000	1709	NA	NA	NA	NA
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	979	1724	NA	NA	NA	NA
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	1038	1678.5	474	874	804.5	804.5
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	1035	1680.5	473	875.5	805	805
GO:0006127	glycerophosphate shuttle	668	1965	NA	NA	NA	NA
GO:0006139	nucleobase-containing compound metabolic process	1367	1384	NA	NA	NA	NA
GO:0006152	purine nucleoside catabolic process	1750	1029.5	NA	NA	NA	NA
GO:0006163	purine nucleotide metabolic process	1785	1007.5	NA	NA	NA	NA
GO:0006164	purine nucleotide biosynthetic process	1909	907.5	NA	NA	NA	NA
GO:0006165	nucleoside diphosphate phosphorylation	1546	1223	NA	NA	NA	NA
GO:0006168	adenine salvage	50	2378	NA	NA	NA	NA
GO:0006177	GMP biosynthetic process	820	1849.5	NA	NA	NA	NA
GO:0006182	cGMP biosynthetic process	350	2216.5	NA	NA	NA	NA
GO:0006183	GTP biosynthetic process	1018	1691.5	NA	NA	NA	NA
GO:0006188	IMP biosynthetic process	769	1888.5	NA	NA	NA	NA
GO:0006189	'de novo' IMP biosynthetic process	261	2268.5	268	977	1291.5	1291.5
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	180	2309	158	1018	1291	1291
GO:0006210	thymine catabolic process	2256	587	1002	532	55	55
GO:0006212	uracil catabolic process	2343	505.5	1382	357	148.5	148.5
GO:0006216	cytidine catabolic process	413	2164.5	NA	NA	NA	NA
GO:0006221	pyrimidine nucleotide biosynthetic process	1662	1113	NA	NA	NA	NA
GO:0006222	UMP biosynthetic process	2392	461.5	NA	NA	NA	NA
GO:0006225	UDP biosynthetic process	2325	526.5	NA	NA	NA	NA
GO:0006226	dUMP biosynthetic process	705	1942	NA	NA	NA	NA
GO:0006228	UTP biosynthetic process	2664	344	NA	NA	NA	NA
GO:0006231	dTMP biosynthetic process	530	2081.5	NA	NA	NA	NA
GO:0006241	CTP biosynthetic process	695	1949	NA	NA	NA	NA
GO:0006259	DNA metabolic process	466	2118	NA	NA	NA	NA
GO:0006260	DNA replication	592	2029.5	2861	131	1898.5	1898.5
GO:0006261	DNA-dependent DNA replication	1537	1232.5	NA	NA	NA	NA
GO:0006264	mitochondrial DNA replication	2029	800	NA	NA	NA	NA
GO:0006265	DNA topological change	607	2016	1093	470.5	1545.5	1545.5
GO:0006266	DNA ligation	464	2121	865	616	1505	1505
GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	1527	1242	NA	NA	NA	NA
GO:0006268	DNA unwinding involved in DNA replication	637	2000	1371	363.5	1636.5	1636.5
GO:0006269	DNA replication, synthesis of RNA primer	479	2110	419	902.5	1207.5	1207.5
GO:0006270	DNA replication initiation	797	1866	NA	NA	NA	NA
GO:0006271	DNA strand elongation involved in DNA replication	584	2035.5	NA	NA	NA	NA
GO:0006272	leading strand elongation	1389	1363.5	927	570	793.5	793.5
GO:0006273	lagging strand elongation	1381	1371	1011	526	845	845
GO:0006275	regulation of DNA replication	1754	1026	1312	385	641	641
GO:0006279	premeiotic DNA replication	1528	1241	NA	NA	NA	NA
GO:0006281	DNA repair	9474	24	4552	69	-45	45
GO:0006282	regulation of DNA repair	3732	146	NA	NA	NA	NA
GO:0006284	base-excision repair	3798	141	60	1053	-912	912
GO:0006289	nucleotide-excision repair	1973	849.5	523	837.5	12	12
GO:0006290	pyrimidine dimer repair	2063	771.5	NA	NA	NA	NA
GO:0006297	nucleotide-excision repair, DNA gap filling	1205	1519.5	NA	NA	NA	NA
GO:0006298	mismatch repair	1492	1269.5	984	540	729.5	729.5
GO:0006301	postreplication repair	2030	798.5	653	748.5	50	50
GO:0006302	double-strand break repair	3526	171	878	607	-436	436
GO:0006303	double-strand break repair via nonhomologous end joining	1432	1329	NA	NA	NA	NA
GO:0006306	DNA methylation	4427	99	1395	353	-254	254
GO:0006308	DNA catabolic process	551	2059.5	NA	NA	NA	NA
GO:0006310	DNA recombination	875	1810.5	1366	365	1445.5	1445.5
GO:0006315	homing of group II introns	750	1902	1690	282	1620	1620
GO:0006325	chromatin organization	704	1943	NA	NA	NA	NA
GO:0006333	chromatin assembly or disassembly	347	2221.5	NA	NA	NA	NA
GO:0006334	nucleosome assembly	2116	730.5	1241	415	315.5	315.5
GO:0006335	DNA replication-dependent nucleosome assembly	477	2112	NA	NA	NA	NA
GO:0006336	DNA replication-independent nucleosome assembly	641	1995.5	NA	NA	NA	NA
GO:0006337	nucleosome disassembly	1307	1428.5	NA	NA	NA	NA
GO:0006338	chromatin remodeling	842	1830	155	1019	811	811
GO:0006342	chromatin silencing	5746	66	11114	13	53	53
GO:0006346	DNA methylation-dependent heterochromatin assembly	470	2115	220	997	1118	1118
GO:0006349	regulation of gene expression by genetic imprinting	2251	596.5	763	684.5	-88	88
GO:0006351	transcription, DNA-templated	5717	67	3309	105	-38	38
GO:0006352	DNA-templated transcription, initiation	740	1911	NA	NA	NA	NA
GO:0006353	DNA-templated transcription, termination	487	2105	NA	NA	NA	NA
GO:0006354	DNA-templated transcription, elongation	485	2106	526	833	1273	1273
GO:0006355	regulation of transcription, DNA-templated	53685	2	33314	1	1	1
GO:0006357	regulation of transcription by RNA polymerase II	12290	16	7182	24	-8	8
GO:0006360	transcription by RNA polymerase I	2259	584.5	NA	NA	NA	NA
GO:0006362	transcription elongation from RNA polymerase I promoter	2342	507.5	NA	NA	NA	NA
GO:0006363	termination of RNA polymerase I transcription	2238	609	NA	NA	NA	NA
GO:0006364	rRNA processing	4777	90	2844	134	-44	44
GO:0006366	transcription by RNA polymerase II	2260	582.5	1004	530	52.5	52.5
GO:0006367	transcription initiation from RNA polymerase II promoter	3136	211	NA	NA	NA	NA
GO:0006368	transcription elongation from RNA polymerase II promoter	2391	463.5	NA	NA	NA	NA
GO:0006376	mRNA splice site selection	1035	1680.5	NA	NA	NA	NA
GO:0006378	mRNA polyadenylation	1634	1137.5	744	701.5	436	436
GO:0006379	mRNA cleavage	1027	1685	NA	NA	NA	NA
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	2720	322.5	1080	477	-154.5	154.5
GO:0006390	mitochondrial transcription	993	1715.5	NA	NA	NA	NA
GO:0006396	RNA processing	5049	83	3078	119	-36	36
GO:0006397	mRNA processing	2232	615	1514	327.5	287.5	287.5
GO:0006400	tRNA modification	3693	151	NA	NA	NA	NA
GO:0006401	RNA catabolic process	2951	248	1029	509.5	-261.5	261.5
GO:0006402	mRNA catabolic process	2946	250.5	NA	NA	NA	NA
GO:0006405	RNA export from nucleus	2519	393.5	NA	NA	NA	NA
GO:0006406	mRNA export from nucleus	1348	1400.5	NA	NA	NA	NA
GO:0006412	translation	3140	210	1773	266	-56	56
GO:0006413	translational initiation	2740	316	1337	381	-65	65
GO:0006414	translational elongation	2817	285	NA	NA	NA	NA
GO:0006415	translational termination	2270	574.5	NA	NA	NA	NA
GO:0006417	regulation of translation	1963	856.5	NA	NA	NA	NA
GO:0006418	tRNA aminoacylation for protein translation	2297	554	NA	NA	NA	NA
GO:0006419	alanyl-tRNA aminoacylation	212	2295	NA	NA	NA	NA
GO:0006420	arginyl-tRNA aminoacylation	201	2300	44	1061	1239	1239
GO:0006421	asparaginyl-tRNA aminoacylation	147	2326.5	NA	NA	NA	NA
GO:0006427	histidyl-tRNA aminoacylation	720	1930	NA	NA	NA	NA
GO:0006428	isoleucyl-tRNA aminoacylation	813	1855.5	NA	NA	NA	NA
GO:0006430	lysyl-tRNA aminoacylation	880	1807	NA	NA	NA	NA
GO:0006432	phenylalanyl-tRNA aminoacylation	1267	1464.5	NA	NA	NA	NA
GO:0006436	tryptophanyl-tRNA aminoacylation	2313	538	NA	NA	NA	NA
GO:0006446	regulation of translational initiation	1909	907.5	1165	444.5	463	463
GO:0006450	regulation of translational fidelity	1908	909.5	925	572	337.5	337.5
GO:0006457	protein folding	2692	334	1995	229.5	104.5	104.5
GO:0006464	cellular protein modification process	240	2282	NA	NA	NA	NA
GO:0006465	signal peptide processing	2452	425	1175	441.5	-16.5	16.5
GO:0006468	protein phosphorylation	68989	1	18935	3	-2	2
GO:0006470	protein dephosphorylation	2595	364	5445	38	326	326
GO:0006473	protein acetylation	2466	417	699	728.5	-311.5	311.5
GO:0006474	N-terminal protein amino acid acetylation	1061	1657	NA	NA	NA	NA
GO:0006479	protein methylation	2014	813	NA	NA	NA	NA
GO:0006486	protein glycosylation	2700	329.5	914	581	-251.5	251.5
GO:0006487	protein N-linked glycosylation	2636	353	1092	473	-120	120
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	519	2089.5	NA	NA	NA	NA
GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	1416	1343	NA	NA	NA	NA
GO:0006491	N-glycan processing	1704	1066	759	692.5	373.5	373.5
GO:0006497	protein lipidation	1787	1005	NA	NA	NA	NA
GO:0006499	N-terminal protein myristoylation	2216	634	2048	221	413	413
GO:0006501	C-terminal protein lipidation	360	2208	NA	NA	NA	NA
GO:0006506	GPI anchor biosynthetic process	840	1833	NA	NA	NA	NA
GO:0006508	proteolysis	4730	92	9963	17	75	75
GO:0006511	ubiquitin-dependent protein catabolic process	9961	22	8662	20	2	2
GO:0006513	protein monoubiquitination	1668	1108.5	NA	NA	NA	NA
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	1761	1021	1743	270	751	751
GO:0006516	glycoprotein catabolic process	841	1831.5	NA	NA	NA	NA
GO:0006517	protein deglycosylation	2108	738	NA	NA	NA	NA
GO:0006518	peptide metabolic process	1244	1490	1039	502.5	987.5	987.5
GO:0006520	cellular amino acid metabolic process	455	2126.5	254	983	1143.5	1143.5
GO:0006521	regulation of cellular amino acid metabolic process	1973	849.5	NA	NA	NA	NA
GO:0006526	arginine biosynthetic process	578	2039	NA	NA	NA	NA
GO:0006528	asparagine metabolic process	108	2343	NA	NA	NA	NA
GO:0006529	asparagine biosynthetic process	107	2344.5	NA	NA	NA	NA
GO:0006531	aspartate metabolic process	453	2129	NA	NA	NA	NA
GO:0006535	cysteine biosynthetic process from serine	496	2102	NA	NA	NA	NA
GO:0006536	glutamate metabolic process	1020	1688.5	NA	NA	NA	NA
GO:0006537	glutamate biosynthetic process	745	1906	NA	NA	NA	NA
GO:0006538	glutamate catabolic process	655	1980	NA	NA	NA	NA
GO:0006540	glutamate decarboxylation to succinate	792	1869	NA	NA	NA	NA
GO:0006541	glutamine metabolic process	1073	1644	NA	NA	NA	NA
GO:0006542	glutamine biosynthetic process	658	1975.5	NA	NA	NA	NA
GO:0006544	glycine metabolic process	676	1958	NA	NA	NA	NA
GO:0006545	glycine biosynthetic process	672	1962	NA	NA	NA	NA
GO:0006546	glycine catabolic process	674	1961	NA	NA	NA	NA
GO:0006552	leucine catabolic process	1120	1607.5	NA	NA	NA	NA
GO:0006556	S-adenosylmethionine biosynthetic process	2168	683	NA	NA	NA	NA
GO:0006557	S-adenosylmethioninamine biosynthetic process	2103	744.5	NA	NA	NA	NA
GO:0006559	L-phenylalanine catabolic process	834	1836	NA	NA	NA	NA
GO:0006560	proline metabolic process	1546	1223	NA	NA	NA	NA
GO:0006561	proline biosynthetic process	1728	1048.5	951	556.5	492	492
GO:0006562	proline catabolic process	2065	768.5	NA	NA	NA	NA
GO:0006563	L-serine metabolic process	836	1835	NA	NA	NA	NA
GO:0006565	L-serine catabolic process	888	1803	1016	521	1282	1282
GO:0006567	threonine catabolic process	2253	592	NA	NA	NA	NA
GO:0006568	tryptophan metabolic process	3287	191	NA	NA	NA	NA
GO:0006569	tryptophan catabolic process	2310	541	1025	516.5	24.5	24.5
GO:0006571	tyrosine biosynthetic process	2316	535.5	NA	NA	NA	NA
GO:0006572	tyrosine catabolic process	2317	534	NA	NA	NA	NA
GO:0006574	valine catabolic process	2406	454	1479	334	120	120
GO:0006592	ornithine biosynthetic process	1221	1509	NA	NA	NA	NA
GO:0006596	polyamine biosynthetic process	1554	1215	977	542	673	673
GO:0006597	spermine biosynthetic process	2345	501.5	NA	NA	NA	NA
GO:0006605	protein targeting	1621	1152	NA	NA	NA	NA
GO:0006606	protein import into nucleus	2643	351	NA	NA	NA	NA
GO:0006607	NLS-bearing protein import into nucleus	1161	1576	NA	NA	NA	NA
GO:0006611	protein export from nucleus	1628	1143.5	NA	NA	NA	NA
GO:0006612	protein targeting to membrane	2501	399	767	680.5	-281.5	281.5
GO:0006620	posttranslational protein targeting to endoplasmic reticulum membrane	1702	1068.5	NA	NA	NA	NA
